,max_temp,mean_temp,mean_wind_speed,min_temp,total_prep,validdate
0,17.8,10.75,1.5000000000000002,4.3,0.0,2019-04-01 00:00:00+00:00
1,20.3,13.775000000000004,2.5541666666666667,7.3,0.0,2019-04-02 00:00:00+00:00
2,11.1,6.708333333333333,1.5416666666666667,3.2,13.4,2019-04-03 00:00:00+00:00
3,3.1,1.8583333333333327,1.0625000000000002,0.3,20.4,2019-04-04 00:00:00+00:00
4,9.6,4.629166666666667,1.4124999999999999,0.5,0.0,2019-04-05 00:00:00+00:00
5,14.0,7.5,1.7916666666666663,0.1,0.0,2019-04-06 00:00:00+00:00
6,11.2,9.6,2.3749999999999996,7.5,0.0,2019-04-07 00:00:00+00:00
7,12.9,9.7375,1.654166666666667,6.8,0.0,2019-04-08 00:00:00+00:00
8,14.1,9.137500000000001,1.4958333333333333,6.0,0.0,2019-04-09 00:00:00+00:00
9,10.5,8.912500000000001,1.270833333333333,7.6,3.5,2019-04-10 00:00:00+00:00
10,11.6,7.558333333333333,2.0208333333333335,4.2,0.30000000000000004,2019-04-11 00:00:00+00:00
11,12.4,6.3875,2.025,1.6,0.0,2019-04-12 00:00:00+00:00
12,8.0,4.220833333333332,2.370833333333334,0.7,0.0,2019-04-13 00:00:00+00:00
13,4.7,3.3041666666666667,1.9250000000000005,1.7,0.6000000000000001,2019-04-14 00:00:00+00:00
14,14.6,7.712500000000001,1.575,2.4,0.1,2019-04-15 00:00:00+00:00
15,15.5,10.15,1.4791666666666667,3.6,1.6,2019-04-16 00:00:00+00:00
16,18.9,13.620833333333335,1.916666666666667,9.3,0.4,2019-04-17 00:00:00+00:00
17,22.1,13.829166666666666,1.1500000000000001,5.7,0.0,2019-04-18 00:00:00+00:00
18,23.0,15.266666666666667,1.2958333333333336,6.7,0.0,2019-04-19 00:00:00+00:00
19,24.0,16.233333333333334,1.704166666666666,7.7,0.0,2019-04-20 00:00:00+00:00
20,22.1,14.408333333333331,0.9583333333333336,8.0,0.0,2019-04-21 00:00:00+00:00
21,24.6,16.12083333333333,1.5708333333333335,6.4,0.0,2019-04-22 00:00:00+00:00
22,22.1,15.77916666666667,0.9791666666666666,10.8,0.0,2019-04-23 00:00:00+00:00
23,25.1,13.450000000000001,1.9875,7.9,6.2,2019-04-24 00:00:00+00:00
24,24.0,13.145833333333334,3.2208333333333337,6.5,0.0,2019-04-25 00:00:00+00:00
25,13.0,9.016666666666667,1.9041666666666668,6.7,8.7,2019-04-26 00:00:00+00:00
26,14.3,8.870833333333334,2.420833333333334,6.2,8.0,2019-04-27 00:00:00+00:00
27,11.6,7.1499999999999995,2.316666666666667,4.3,2.3,2019-04-28 00:00:00+00:00
